State,Pollster,Grade,Sample,Date,weight,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,43,0,0,0,0,0,0,41,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,41,0,0,0,0,0,0,38,0
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,39,0,0,0,0,0,0,0,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,39,0,0,0,0,0,0,0,0
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,42,0,0,0,0,42,0,0,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,41,0,0,0,0,38,0,0,0
US,Morning Consult,B/C,16529  lv,10-Jun,0,33,0,2,5,1,19,1,21,3
US,Swayable,-,3491  lv,Sep-26,0,33,0,2,5,1,16,1,20,2
US,Swayable,-,7120  a,Sep-26,0,28,0,2,4,2,19,2,15,3
US,Avalanche Strategy,-,1043  lv,10-Apr,1.5,27,0,0,7,0,12,0,29,0
US,YouGov Blue/Data for Progress,-,1276  lv,10-Apr,1.9,23,0,2,6,1,15,0,36,3
US,Harris Insights & Analytics,C+,1840  lv,10-Apr,0,35,0,2,4,1,13,1,19,2
US,Harris Insights & Analytics,C+,782  lv,10-Apr,0,35,0,2,3,1,12,1,17,2
US,IBD/TIPP,A/B,341  rv,10-Mar,0,26,0,0,7,1,10,0,27,3
US,Harris Insights & Analytics,C+,783  lv,10-Mar,0,33,0,2,3,2,12,1,22,3
Wisconsin,Change Research,C,663  lv,10-Feb,1.6,11,0,1,6,1,25,0,34,3
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,663  lv,10-Feb,0,28,0,2,7,2,17,0,22,2
South Carolina,Fox News/Beacon Research/Shaw & Co. Research,A-,803  lv,10-Feb,0,41,0,3,2,0,10,4,12,1
Ohio,Emerson College,A-,353  lv,10-Feb,4.9,29,0,0,5,0,27,0,21,3
Michigan,Denno Research,-,217  lv,Sep-24,1.1,27,0,1,4,1,12,0,23,1
US,Harris Insights & Analytics,C+,783  lv,10-Feb,0,32,0,2,4,2,14,1,22,2
US,YouGov,B-,602  lv,10-Jan,0,22,0,2,7,1,14,1,26,3
US,Harris Insights & Analytics,C+,766  lv,10-Jan,0,35,0,2,4,2,13,1,21,3
US,YouGov,B-,600  rv,Sep-30,0,18,0,1,5,2,21,1,28,3
South Carolina,Winthrop University,A/B,462  rv,Sep-30,4.3,37,0,3,4,1,8,2,17,2
US,Ipsos,B-,1136  rv,Sep-30,0,21,0,1,4,1,16,0,15,3
US,Ipsos,B-,1379  a,Sep-30,0,18,0,1,3,1,15,0,14,3
US,Harris Insights & Analytics,C+,769  lv,Sep-30,0,35,0,2,4,0,15,1,19,2
US,Harris Insights & Analytics,C+,1322  rv,Sep-30,0,30,0,2,4,0,16,1,15,2
US,Monmouth University,A+,434  rv,Sep-29,0,25,0,1,5,1,15,1,28,2
New Hampshire,St. Anselm,-,423  lv,Sep-29,0,24,0,1,10,3,11,2,25,2
US,Morning Consult,B/C,16274  lv,Sep-29,0,32,0,3,5,1,19,1,21,3
Arizona,Change Research,C,396  lv,Sep-28,1.4,15,0,1,13,1,19,0,35,8
US,Swayable,-,3140  lv,Sep-18,0,33,0,2,6,1,18,1,16,2
US,Swayable,-,6341  a,Sep-18,0,29,0,2,5,1,21,2,13,3
US,Ipsos,B-,2692  a,Sep-20,0,19,0,2,3,1,17,0,12,3
US,Harris Insights & Analytics,C+,1840  lv,Sep-27,0,33,0,2,5,1,15,0,19,2
US,Harris Insights & Analytics,C+,3100  rv,Sep-27,0,28,0,2,4,1,15,1,15,2
US,Harris Insights & Analytics,C+,772  lv,Sep-27,0,33,0,3,5,2,13,1,19,1
US,Harris Insights & Analytics,C+,1309  rv,Sep-27,0,28,0,3,4,2,13,1,15,2
Nevada,SSRS,A/B,324  lv,Sep-26,4,22,0,2,4,1,22,4,18,3
South Carolina,SSRS,A/B,406  lv,Sep-26,4.4,37,0,2,4,1,11,3,16,0
US,Harris Insights & Analytics,C+,801  lv,Sep-26,0,31,0,3,5,2,13,0,20,2
US,Harris Insights & Analytics,C+,1335  rv,Sep-26,0,28,0,3,3,1,14,0,15,2
California,Public Policy Institute of California,A/B,692  lv,Sep-25,0,22,0,2,6,1,21,1,23,3
US,Harris Insights & Analytics,C+,816  lv,Sep-25,0,32,0,3,4,2,13,0,21,2
US,Harris Insights & Analytics,C+,1332  rv,Sep-25,0,29,0,2,3,1,15,0,16,2
US,Harris Insights & Analytics,C+,693  rv,Sep-24,0,28,0,2,3,1,16,2,17,3
US,YouGov,B-,608  lv,Sep-24,0,25,0,0,7,1,16,0,25,2
US,Ipsos,B-,495  rv,Sep-24,0,22,0,1,4,1,14,2,17,1
US,Ipsos,B-,589  a,Sep-24,0,20,0,1,4,1,13,2,14,1
US,Harris Insights & Analytics,C+,812  lv,Sep-24,0,34,0,1,4,1,15,0,19,2
US,Harris Insights & Analytics,C+,1352  rv,Sep-24,0,29,0,1,4,1,16,1,16,2
US,Quinnipiac University,B+,561  rv,Sep-23,0,25,0,0,7,2,16,0,27,2
US,Emerson College,A-,462  lv,Sep-23,0,25,0,2,6,0,22,0,23,8
Nevada,Suffolk University,A-,500  lv,Sep-23,0,23,0,2,3,0,14,3,19,3
US,Harris Insights & Analytics,C+,789  lv,Sep-23,0,33,0,2,5,1,17,0,19,2
US,Harris Insights & Analytics,C+,1331  rv,Sep-23,0,28,0,1,4,1,17,1,16,2
US,David Binder Research,-,1200  lv,Sep-22,0,34,0,3,5,1,15,1,17,2
US,Morning Consult,B/C,635  lv,Sep-22,0,0,0,0,0,0,38,0,49,0
US,Morning Consult,B/C,726  rv,Sep-22,0,0,0,0,0,0,37,0,46,0
US,Morning Consult,B/C,635  lv,Sep-22,0,52,0,0,0,0,37,0,0,0
US,Morning Consult,B/C,726  rv,Sep-22,0,48,0,0,0,0,35,0,0,0
US,Morning Consult,B/C,635  lv,Sep-22,0,45,0,0,0,0,0,0,38,0
US,Morning Consult,B/C,726  rv,Sep-22,0,43,0,0,0,0,0,0,36,0
US,Morning Consult,B/C,17377  lv,Sep-22,0,32,0,3,5,2,19,1,20,3
Georgia,Landmark Communications,B,500  lv,Sep-21,3.1,41,0,2,5,1,8,0,17,2
New Hampshire,Monmouth University,A+,401  lv,Sep-21,0,25,0,2,10,2,12,2,27,2
US,Harris Insights & Analytics,C+,440  rv,Sep-21,0,31,0,2,5,2,16,1,14,2
South Carolina,Tel Opinion Research,B/C,600  lv,Sep-20,0,41,0,0,0,0,9,0,19,0
South Carolina,Tel Opinion Research,B/C,600  lv,Sep-20,1.9,36,0,0,3,0,7,0,14,1
South Carolina,Tel Opinion Research,B/C,600  lv,Sep-20,0,19,0,0,2,0,3,1,9,0
US,Harris Insights & Analytics,C+,1831  lv,Sep-20,0,32,0,3,5,1,15,1,17,2
US,Harris Insights & Analytics,C+,761  lv,Sep-20,0,32,0,3,5,1,15,1,20,2
US,Harris Insights & Analytics,C+,1340  rv,Sep-20,0,28,0,3,4,1,16,1,17,2
North Carolina,High Point University,A/B,348  a,Sep-19,0,31,0,4,3,1,20,0,15,4
New Hampshire,Tel Opinion Research,B/C,600  lv,Sep-19,0,28,0,0,0,0,14,0,39,0
New Hampshire,Tel Opinion Research,B/C,600  lv,Sep-19,1.9,24,0,0,9,0,13,0,29,1
New Hampshire,Tel Opinion Research,B/C,600  lv,Sep-19,0,15,0,0,4,2,8,0,18,0
Maryland,Goucher College,-,300  lv,Sep-19,1.2,33,0,1,5,1,10,0,21,1
US,Harris Insights & Analytics,C+,773  lv,Sep-19,0,31,0,3,5,1,16,1,19,2
US,Harris Insights & Analytics,C+,1343  rv,Sep-19,0,26,0,3,4,1,16,1,16,2
California,"University of California, Berkeley",B/C,2272  lv,Sep-18,0,20,0,1,6,2,19,0,29,2
Florida,Tel Opinion Research,B/C,800  lv,Sep-18,0,43,0,0,0,0,10,0,26,0
Florida,Tel Opinion Research,B/C,800  lv,Sep-18,2,37,0,0,5,0,9,0,18,2
Florida,Tel Opinion Research,B/C,800  lv,Sep-18,0,24,0,0,2,0,5,0,11,1
Iowa,Selzer & Co.,A+,602  lv,Sep-18,0,20,0,3,9,3,11,2,22,2
US,Harris Insights & Analytics,C+,768  lv,Sep-18,0,34,0,2,5,1,14,1,18,2
US,Harris Insights & Analytics,C+,1326  rv,Sep-18,0,27,0,2,3,1,15,1,16,3
US,Zogby Interactive/JZ Analytics,C,601  lv,Sep-17,0,31,0,4,6,3,17,0,17,2
US,Fox News/Beacon Research/Shaw & Co. Research,A-,480  lv,Sep-17,0,29,0,3,5,2,18,1,16,2
US,Fox News/Beacon Research/Shaw & Co. Research,A-,480  lv,Sep-17,0,53,0,0,0,0,0,0,37,0
Iowa,Civiqs,-,572  lv,Sep-17,0,16,0,2,13,3,16,2,24,3
US,YouGov,B-,603  lv,Sep-17,0,25,0,2,8,1,15,0,19,3
US,Harris Insights & Analytics,C+,799  lv,Sep-17,0,32,0,3,5,2,14,1,15,2
US,Harris Insights & Analytics,C+,1329  rv,Sep-17,0,27,0,3,4,1,14,1,13,3
Missouri,Show Me Victories,-,400  lv,Sep-16,1.2,34,0,1,10,1,14,0,22,1
New Jersey,Monmouth University,A+,325  rv,Sep-16,6.4,26,0,9,6,1,18,0,20,1
US,Civiqs,-,1291  lv,Sep-16,1.7,24,0,1,7,1,14,1,30,2
Iowa,David Binder Research,-,500  lv,Sep-16,0,25,0,2,12,8,9,3,23,2
US,SurveyUSA,A,1017  lv,Sep-16,0,33,0,4,5,1,17,0,19,3
US,NBC News/Wall Street Journal,A/B,506  lv,Sep-16,0,31,0,2,7,2,14,1,25,4
California,Emerson College,A-,424  lv,Sep-16,4.9,26,0,1,4,0,26,1,20,7
US,Harris Insights & Analytics,C+,812  lv,Sep-16,0,33,0,4,5,1,14,1,14,2
US,Harris Insights & Analytics,C+,1332  rv,Sep-16,0,29,0,3,4,1,14,1,12,2
Virginia,Research America Inc.,B/C,882  rv,Sep-15,2.1,23,0,1,4,2,9,0,9,2
Virginia,Research America Inc.,B/C,1009  a,Sep-15,0,23,0,1,4,2,10,0,10,3
California,Change Research,C,3325  lv,Sep-15,0,18,0,2,10,1,23,0,25,3
Texas,University of Texas at Tyler,B/C,474  rv,Sep-15,0,28,0,6,4,0,17,1,11,1
Florida,Florida Atlantic University,B/C,407  lv,Sep-15,0,34,0,1,5,0,14,0,24,2
California,SurveyUSA,A,547  lv,Sep-15,0,27,0,2,3,1,18,0,16,7
US,Morning Consult,B/C,7487  lv,Sep-15,0,32,0,3,5,2,20,1,18,3
California,Capitol Weekly,-,599  lv,Sep-13,0,18,0,1,7,1,21,0,29,4
US,Harris Insights & Analytics,C+,1865  lv,Sep-13,0,35,0,2,5,1,15,1,15,3
US,Harris Insights & Analytics,C+,3074  rv,Sep-13,0,29,0,2,4,1,16,1,12,3
US,Harris Insights & Analytics,C+,799  lv,Sep-13,0,38,0,1,4,1,14,2,15,2
US,Harris Insights & Analytics,C+,1302  rv,Sep-13,0,31,0,2,4,1,15,1,12,2
US,Civiqs,-,1784  lv,9-Dec,0,23,0,1,7,1,15,0,28,2
Arizona,Bendixen & Amandi International,B/C,250  rv,9-Dec,1.3,29,0,0,5,1,18,0,24,2
New York,Siena College,A-,359  rv,9-Dec,0,22,0,0,3,1,15,0,17,1
US,Harris Insights & Analytics,C+,801  lv,9-Dec,0,38,0,1,4,1,14,1,15,2
US,Harris Insights & Analytics,C+,1319  rv,9-Dec,0,32,0,2,3,1,15,1,11,2
Georgia,Change Research,C,755  lv,9-Nov,1.4,33,0,2,7,1,17,0,22,3
US,GQR Research (GQRR),C+,241  lv,9-Nov,1.3,30,0,4,4,2,21,0,19,2
New Hampshire,Harris Insights & Analytics,C+,595  lv,9-Nov,1.8,22,0,3,5,1,21,2,15,2
US,Harris Insights & Analytics,C+,807  lv,9-Nov,0,35,0,2,5,1,17,1,15,3
US,Harris Insights & Analytics,C+,1313  rv,9-Nov,0,30,0,2,4,1,18,1,11,2
US,McLaughlin & Associates,C/D,454  lv,9-Oct,0,28,0,4,6,1,21,0,12,2
US,Ipsos,B-,557  rv,9-Oct,0,22,0,3,4,1,16,1,11,3
US,Ipsos,B-,615  a,9-Oct,0,22,0,3,4,1,16,1,11,3
New Hampshire,RKM Research and Communications Inc.,A/B,425  lv,9-Oct,0,21,0,1,5,1,29,0,17,5
US,YouGov,B-,632  lv,9-Oct,0,24,0,2,5,1,17,0,24,2
US,Harris Insights & Analytics,C+,815  lv,9-Oct,0,33,0,2,4,1,17,1,15,3
US,Harris Insights & Analytics,C+,1339  rv,9-Oct,0,29,0,2,4,2,17,2,12,3
US,SSRS,A/B,908  rv,9-Sep,0,24,0,2,6,1,17,1,18,2
Texas,Quinnipiac University,B+,456  rv,9-Sep,3.3,28,0,1,3,2,12,0,18,1
New Hampshire,Emerson College,A-,483  lv,9-Sep,0,24,0,4,11,1,13,1,21,3
US,Harris Insights & Analytics,C+,788  lv,9-Sep,0,30,0,3,5,1,17,1,15,3
US,Harris Insights & Analytics,C+,1322  rv,9-Sep,0,26,0,2,5,1,17,2,13,3
US,Harris Insights & Analytics,C+,454  rv,9-Aug,0,27,0,3,4,1,15,1,12,5
US,USC Dornsife/LA Times,B/C,2462  lv,9-Aug,0,28,0,2,4,1,13,0,11,2
Texas,YouGov,B-,552  lv,9-Aug,0,26,0,1,4,1,12,0,18,3
US,Morning Consult,B/C,17824  lv,9-Aug,0,33,0,3,5,1,21,1,16,3
US,Harris Insights & Analytics,C+,1350  rv,9-Aug,0,27,0,3,5,1,17,1,13,3
US,Harris Insights & Analytics,C+,1350  rv,9-Jul,0,26,0,2,5,1,17,1,13,2
US,Benenson Strategy Group,B/C,762  lv,9-Jun,2.1,28,0,3,8,0,21,0,14,2
US,YouGov,B-,1002  lv,9-Jun,0,27,0,2,6,1,15,0,24,2
US,YouGov,B-,1002  lv,9-Jun,0,0,0,0,0,0,36,0,55,0
US,YouGov,B-,1002  lv,9-Jun,0,43,0,0,0,0,0,0,49,0
US,YouGov,B-,1002  lv,9-Jun,0,51,0,0,0,0,40,0,0,0
Texas,Univision/University of Houston/Latino Decisions/North Star Opinion Research,-,552  lv,9-Jun,1.3,20,0,3,1,0,13,1,12,1
US,Harris Insights & Analytics,C+,1891  lv,9-Jun,0,33,0,2,5,1,15,1,15,2
US,Harris Insights & Analytics,C+,3137  rv,9-Jun,0,28,0,2,5,1,17,1,13,2
US,Harris Insights & Analytics,C+,829  lv,9-Jun,0,33,0,2,4,1,15,1,14,3
US,Harris Insights & Analytics,C+,1352  rv,9-Jun,0,29,0,2,4,1,17,1,13,2
Texas,Ragnar Research Partners,-,600  lv,9-May,1.1,23,0,1,6,0,12,0,15,0
US,ABC News/Washington Post,A+,437  a,9-May,0,27,0,1,4,1,19,0,17,3
US,ABC News/Washington Post,A+,391  rv,9-May,0,29,0,1,4,2,19,1,18,3
Massachusetts,Suffolk University,A-,500  lv,9-May,4.9,26,0,1,5,0,8,0,24,1
US,Harris Insights & Analytics,C+,846  lv,9-May,0,33,0,1,4,1,15,1,15,3
US,Harris Insights & Analytics,C+,1372  rv,9-May,0,30,0,1,4,1,16,1,13,2
US,TargetPoint/GQR Research,-,600  lv,9-Apr,1.2,26,0,1,5,2,15,0,23,0
South Carolina,YouGov,B-,785  lv,9-Apr,0,43,0,2,4,1,18,1,14,1
Nevada,YouGov,B-,563  lv,9-Apr,0,27,0,1,4,0,29,2,18,1
Iowa,YouGov,B-,682  lv,9-Apr,0,29,0,2,7,2,26,2,17,1
New Hampshire,YouGov,B-,492  lv,9-Apr,0,26,0,2,8,1,25,1,27,1
US,Harris Insights & Analytics,C+,842  lv,9-Apr,0,33,0,2,6,1,15,1,15,2
US,Harris Insights & Analytics,C+,1347  rv,9-Apr,0,30,0,1,5,1,16,1,12,2
US,Swayable,-,1849  lv,Aug-23,0,33,0,2,3,1,18,2,16,1
US,Swayable,-,3790  a,Aug-23,0,28,0,2,3,1,21,1,13,3
US,YouGov,B-,518  lv,9-Mar,0,26,0,1,6,0,14,0,21,3
US,Harris Insights & Analytics,C+,808  lv,9-Mar,0,34,0,1,6,1,16,2,15,2
US,Harris Insights & Analytics,C+,1346  rv,9-Mar,0,28,0,1,5,1,18,1,11,2
US,Harris Insights & Analytics,C+,1350  rv,9-Feb,0,27,0,2,6,1,18,2,12,1
US,Morning Consult,B/C,16736  lv,9-Jan,0,32,0,3,5,1,20,1,16,3
US,Harris Insights & Analytics,C+,1350  rv,9-Jan,0,29,0,2,4,1,18,2,12,1
California,Capitol Weekly,-,728  lv,Aug-31,0,27,0,1,9,1,14,1,23,3
US,Harris Insights & Analytics,C+,1350  rv,Aug-31,0,29,0,3,4,1,15,1,12,1
US,IBD/TIPP,A/B,360  rv,Aug-30,0,28,0,4,5,1,12,0,24,1
US,Harris Insights & Analytics,C+,816  lv,Aug-30,0,36,0,3,4,1,13,0,13,1
US,Harris Insights & Analytics,C+,1331  rv,Aug-30,0,31,0,3,3,1,14,1,11,2
US,Harris Insights & Analytics,C+,1870  lv,Aug-30,0,36,0,3,4,1,13,1,14,2
US,Harris Insights & Analytics,C+,3114  rv,Aug-30,0,31,0,3,3,1,15,1,11,2
US,Claster Consulting,-,752  lv,Aug-29,1.3,22,0,3,3,2,19,0,14,2
Wisconsin,Marquette University Law School,A/B,444  rv,Aug-29,0,28,0,1,6,1,20,1,17,2
US,Harris Insights & Analytics,C+,809  lv,Aug-29,0,37,0,3,4,1,13,1,13,1
US,Harris Insights & Analytics,C+,1330  rv,Aug-29,0,32,0,3,3,1,14,1,11,2
US,Harris Insights & Analytics,C+,985  rv,Aug-28,0,32,0,3,4,1,16,1,13,2
US,Harris Insights & Analytics,C+,813  lv,Aug-28,0,38,0,3,4,1,13,1,13,2
US,Harris Insights & Analytics,C+,1331  rv,Aug-28,0,33,0,3,4,1,14,1,11,2
US,YouGov,B-,570  lv,Aug-27,0,24,0,1,5,1,14,1,20,2
US,Harris Insights & Analytics,C+,775  lv,Aug-27,0,37,0,3,4,1,13,2,13,2
US,Harris Insights & Analytics,C+,1318  rv,Aug-27,0,32,0,3,4,1,15,2,10,2
US,Change Research,C,874  lv,Aug-26,0,19,0,3,9,1,22,1,29,2
US,Quinnipiac University,B+,648  rv,Aug-26,0,32,0,1,5,1,15,0,19,3
US,Emerson College,A-,627  lv,Aug-26,0,31,0,3,3,1,24,0,15,4
US,Harris Insights & Analytics,C+,786  lv,Aug-26,0,36,0,3,5,1,14,1,14,2
US,Harris Insights & Analytics,C+,1341  rv,Aug-26,0,31,0,3,4,1,16,1,10,3
Texas,Climate Nexus,-,639  lv,Aug-25,1.2,24,0,2,3,0,12,1,12,1
Texas,Texas Lyceum,-,358  lv,Aug-25,1,24,0,2,3,3,13,0,15,2
US,Suffolk University,A-,424  lv,Aug-25,0,32,0,2,6,0,12,0,14,3
US,Morning Consult,B/C,17303  lv,Aug-25,0,33,0,3,5,1,20,1,15,2
US,Harris Insights & Analytics,C+,1350  rv,Aug-25,0,29,0,2,3,1,16,1,12,2
US,Harris Insights & Analytics,C+,465  rv,Aug-24,0,30,0,2,4,1,17,1,14,2
US,Harris Insights & Analytics,C+,1350  rv,Aug-24,0,30,0,2,3,1,16,1,13,2
US,Harris Insights & Analytics,C+,3132  rv,Aug-23,0,28,0,2,3,1,17,1,10,2
US,Harris Insights & Analytics,C+,1343  rv,Aug-23,0,28,0,2,3,1,18,1,12,2
US,Harris Insights & Analytics,C+,1356  rv,Aug-22,0,28,0,2,4,1,17,1,10,2
US,Echelon Insights,-,479  rv,Aug-21,0,30,0,4,3,0,19,0,11,1
US,Echelon Insights,-,479  rv,Aug-21,0,55,0,0,0,0,0,0,0,0
US,Echelon Insights,-,479  rv,Aug-21,0,52,0,0,0,0,0,0,32,0
US,Echelon Insights,-,479  rv,Aug-21,0,55,0,0,0,0,35,0,0,0
US,Harris Insights & Analytics,C+,1326  rv,Aug-21,0,28,0,2,4,1,17,1,10,2
New Jersey,Change Research,C,635  lv,Aug-20,1.2,26,0,5,12,0,21,1,23,1
US,Monmouth University,A+,298  rv,Aug-20,0,19,0,4,4,1,20,0,20,3
US,YouGov,B-,559  lv,Aug-20,0,22,0,2,7,0,19,0,17,1
US,Harris Insights & Analytics,C+,1335  rv,Aug-20,0,28,0,3,4,1,17,1,9,2
Colorado,Emerson College,A-,403  lv,Aug-19,4,25,0,2,5,0,26,0,20,4
US,Harris Insights & Analytics,C+,1341  rv,Aug-19,0,27,0,3,3,1,17,1,9,2
US,Swayable,-,1958  lv,8-Jun,0,31,0,3,5,1,17,0,15,2
US,Swayable,-,4016  a,8-Jun,0,27,0,3,4,1,20,0,12,2
US,Harris Insights & Analytics,C+,1350  rv,Aug-18,0,26,0,2,4,1,17,1,10,2
US,SSRS,A/B,402  rv,Aug-18,0,29,0,2,5,1,15,1,14,1
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,0,0,0,0,0,0,0,33,0
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,0,0,0,0,0,43,0,37,0
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,0,0,0,0,0,42,0,0,0
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,39,0,0,0,0,0,0,41,0
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,42,0,0,0,0,0,0,0,0
US,Harris Insights & Analytics,C+,909  rv,Aug-18,0,44,0,0,0,0,38,0,0,0
US,Morning Consult,B/C,17115  lv,Aug-18,0,31,0,3,5,1,20,1,15,3
US,Harris Insights & Analytics,C+,1350  rv,Aug-17,0,26,0,3,4,1,16,1,11,2
Nevada,Gravis Marketing,C+,382  rv,Aug-16,1.2,25,0,3,5,2,10,6,15,2
US,Harris Insights & Analytics,C+,3118  rv,Aug-16,0,29,0,2,4,1,15,1,11,2
US,Harris Insights & Analytics,C+,1317  rv,Aug-16,0,27,0,2,4,1,16,1,12,2
US,Harris Insights & Analytics,C+,1336  rv,Aug-15,0,28,0,2,3,1,14,1,12,3
US,Harris Insights & Analytics,C+,1342  rv,Aug-14,0,29,0,2,3,1,14,1,11,3
US,Fox News/Beacon Research/Shaw & Co. Research,A-,483  lv,Aug-13,0,31,0,3,3,2,10,1,20,3
US,YouGov,B-,592  lv,Aug-13,0,21,0,2,5,1,16,1,20,1
US,Harris Insights & Analytics,C+,1350  rv,Aug-13,0,28,0,2,3,1,15,1,10,2
South Carolina,Change Research,C,521  lv,8-Dec,0,36,0,4,5,1,16,1,17,1
US,Harris Insights & Analytics,C+,1346  rv,8-Dec,0,30,0,2,5,1,16,1,10,2
Iowa,Change Research,C,621  lv,8-Nov,1.1,17,0,3,13,2,17,2,28,1
Wisconsin,Change Research,C,626  lv,8-Nov,0,20,0,1,9,2,24,1,29,2
US,Morning Consult,B/C,17117  lv,8-Nov,0,33,0,3,5,1,20,1,14,2
US,Harris Insights & Analytics,C+,1350  rv,8-Nov,0,30,0,2,5,1,17,1,9,2
US,Harris Insights & Analytics,C+,451  rv,8-Oct,0,31,0,1,4,2,16,1,10,1
US,Harris Insights & Analytics,C+,1350  rv,8-Oct,0,31,0,2,5,1,15,1,9,2
US,Harris Insights & Analytics,C+,3088  rv,8-Sep,0,28,0,3,3,1,16,1,10,1
US,Harris Insights & Analytics,C+,1318  rv,8-Sep,0,29,0,3,4,1,15,1,8,1
Nevada,Change Research,C,439  lv,8-Aug,1,26,0,0,7,1,22,3,23,1
US,Harris Insights & Analytics,C+,1316  rv,8-Aug,0,27,0,3,4,1,15,1,9,1
US,Harris Insights & Analytics,C+,1319  rv,8-Jul,0,25,0,3,4,1,17,1,11,1
New Hampshire,Gravis Marketing,C+,250  lv,8-Jun,1.1,15,0,0,8,4,21,4,12,4
US,YouGov,B-,573  lv,8-Jun,0,22,0,1,8,0,13,1,16,2
US,Harris Insights & Analytics,C+,1319  rv,8-Jun,0,25,0,3,3,1,17,1,11,1
North Carolina,SurveyUSA,A,534  lv,8-May,5.6,36,0,1,5,0,15,0,13,1
California,SurveyUSA,A,528  lv,8-May,0,25,0,1,6,0,18,0,21,1
US,SurveyUSA,A,999  lv,8-May,0,33,0,1,8,1,20,0,19,0
US,Ipsos,B-,1023  rv,8-May,0,25,0,3,5,1,20,0,10,2
US,Quinnipiac University,B+,807  rv,8-May,0,32,0,2,5,1,14,0,21,1
US,Ipsos,B-,1258  a,8-May,0,22,0,3,4,1,18,0,9,2
US,Harris Insights & Analytics,C+,1339  rv,8-May,0,27,0,3,2,1,16,1,11,2
US,Pew Research Center,B/C,1757  rv,8-Apr,2.1,26,0,1,5,1,12,0,16,1
US,Public Policy Polling,B,588  v,8-Apr,2.2,36,0,4,4,2,12,0,13,2
US,Change Research,C,1450  lv,8-Apr,0,23,0,2,9,1,23,0,26,2
Iowa,Monmouth University,A+,401  lv,8-Apr,0,28,0,1,8,3,9,3,19,2
Pennsylvania,Franklin & Marshall College,B/C,295  rv,8-Apr,0,28,0,2,6,0,12,0,21,0
Texas,University of Texas at Tyler,B/C,534  rv,8-Apr,0,24,0,2,5,0,18,1,10,2
New Hampshire,Suffolk University,A-,500  lv,8-Apr,0,21,0,1,6,1,17,1,14,1
US,Morning Consult,B/C,9845  lv,8-Apr,0,33,0,3,6,1,19,1,15,2
US,Harris Insights & Analytics,C+,1350  rv,8-Apr,0,28,0,3,3,1,14,1,9,2
Texas,Emerson College,A-,400  lv,8-Mar,3.7,28,0,2,7,0,16,0,14,3
US,Harris Insights & Analytics,C+,1350  rv,8-Mar,0,29,0,3,3,1,16,1,9,2
US,Harris Insights & Analytics,C+,1350  rv,8-Feb,0,29,0,3,4,1,17,1,9,2
US,Harris Insights & Analytics,C+,914  rv,8-Feb,0,28,0,3,3,1,16,1,8,2
Washington,Zogby Interactive/JZ Analytics,C,619  lv,8-Jan,1,19,0,1,5,1,18,0,14,2
US,IBD/TIPP,A/B,350  rv,8-Jan,0,30,0,2,6,1,12,0,17,0
US,Harris Insights & Analytics,C+,585  rv,8-Jan,0,34,0,2,4,1,17,1,8,1
US,Harris Insights & Analytics,C+,896  rv,8-Jan,0,30,0,3,4,1,18,1,9,1
US,Harris Insights & Analytics,C+,867  rv,Jul-31,0,30,0,2,5,1,17,1,8,1
California,Capitol Weekly,-,739  lv,Jul-31,0,21,0,1,8,1,15,0,24,2
US,YouGov,B-,629  lv,Jul-30,0,26,0,2,5,1,13,0,18,1
US,Harris Insights & Analytics,C+,868  rv,Jul-30,0,30,0,2,3,1,15,1,8,1
Illinois,Victory Research,B/C,1200  lv,Jul-29,0,36,0,1,9,2,15,1,13,0
US,Emerson College,A-,520  lv,Jul-29,0,33,0,0,6,0,20,2,14,2
US,Harris Insights & Analytics,C+,884  rv,Jul-29,0,32,0,1,3,1,15,2,9,1
US,GQR Research (GQRR),C+,471  lv,Jul-28,0,31,0,1,8,2,22,0,15,1
US,McLaughlin & Associates,C/D,468  lv,Jul-28,0,28,0,3,3,0,15,1,9,2
US,Morning Consult,B/C,16959  lv,Jul-28,0,33,0,3,5,1,18,1,13,2
US,Harris Insights & Analytics,C+,444  rv,Jul-28,0,34,0,1,5,1,20,1,12,1
US,Quinnipiac University,B+,579  rv,Jul-28,0,34,0,1,6,1,11,0,15,2
Oklahoma,SoonerPoll.com,B/C,152  lv,Jul-27,1,26,0,2,6,1,5,0,12,0
US,Echelon Insights,-,510  rv,Jul-27,0,58,0,0,0,0,29,0,0,0
US,Echelon Insights,-,510  rv,Jul-27,0,56,0,0,0,0,0,0,0,0
US,Echelon Insights,-,510  rv,Jul-27,0,54,0,0,0,0,0,0,35,0
US,Echelon Insights,-,510  rv,Jul-27,0,33,0,1,5,0,14,0,10,1
